event_type,severity,frequency
System Log,9,35
Health Check,2,17
System Log,5,2
Port Scan,2,12
Health Check,6,54
Health Check,6,4
System Log,7,11
System Log,6,19
System Log,9,56
Failed Login,5,5
Port Scan,5,82
Health Check,5,27
Failed Login,8,4
Port Scan,6,6
Health Check,3,2
Port Scan,7,33
Health Check,9,4
Failed Login,7,33
System Log,7,45
Health Check,4,14
System Log,7,25
System Log,4,34
Health Check,4,17
System Log,9,62
Port Scan,6,16
System Log,5,18
Port Scan,3,12
System Log,9,88
Health Check,3,8
System Log,2,3
Failed Login,3,30
Port Scan,4,4
Failed Login,4,29
Failed Login,1,9
Failed Login,2,52
Failed Login,4,1
Health Check,8,12
Failed Login,1,12
Failed Login,2,7
System Log,7,16
System Log,3,56
Failed Login,7,14
Port Scan,4,8
System Log,6,21
Port Scan,6,3
Failed Login,2,4
Port Scan,7,14
Failed Login,4,4
System Log,7,8
Port Scan,3,3
System Log,4,20
Port Scan,1,14
Health Check,9,51
System Log,3,4
Failed Login,5,1
Health Check,6,3
System Log,4,81
System Log,8,28
Port Scan,9,8
Port Scan,2,4
Port Scan,1,16
Failed Login,2,26
Port Scan,7,17
Port Scan,1,66
Failed Login,1,60
Failed Login,9,9
System Log,2,6
Health Check,7,0
Health Check,4,1
Port Scan,1,32
Port Scan,4,27
System Log,6,15
System Log,5,3
Port Scan,6,5
Port Scan,3,10
Port Scan,1,21
Port Scan,5,10
Port Scan,2,38
System Log,5,27
Failed Login,2,8
System Log,1,1
Failed Login,5,34
Port Scan,4,10
Failed Login,8,16
Failed Login,8,25
Port Scan,6,9
Port Scan,5,3
Failed Login,6,35
Health Check,6,12
System Log,8,26
Health Check,7,15
Port Scan,2,27
Health Check,8,28
System Log,5,5
Failed Login,3,5
Failed Login,3,7
Health Check,1,13
System Log,5,9
Failed Login,4,8
Failed Login,7,38
Port Scan,7,35
Health Check,6,72
Health Check,9,26
Health Check,3,21
System Log,9,0
System Log,2,4
Health Check,1,30
Failed Login,3,2
Failed Login,1,5
Health Check,5,0
System Log,5,37
Port Scan,9,15
Health Check,7,10
Health Check,9,4
System Log,8,50
Failed Login,8,3
System Log,9,14
Port Scan,7,1
System Log,3,3
System Log,1,2
Failed Login,9,30
Port Scan,4,19
System Log,1,22
System Log,9,52
Failed Login,2,13
Failed Login,5,7
Failed Login,4,46
Failed Login,2,23
Port Scan,7,16
Port Scan,7,54
Port Scan,2,4
System Log,1,28
Port Scan,6,50
System Log,5,12
System Log,9,16
Failed Login,3,9
Port Scan,9,3
Failed Login,7,7
Health Check,7,8
Port Scan,4,28
Failed Login,3,2
Failed Login,9,6
Port Scan,1,0
Health Check,4,4
Failed Login,1,9
System Log,3,34
Port Scan,7,6
System Log,7,3
Failed Login,9,11
Health Check,3,47
Health Check,8,10
System Log,1,18
Health Check,6,0
Port Scan,3,52
System Log,9,19
System Log,2,20
Health Check,1,2
Failed Login,8,16
Health Check,9,29
Port Scan,5,9
System Log,5,6
Failed Login,1,12
Health Check,1,1
Failed Login,9,3
Failed Login,4,9
System Log,9,48
System Log,7,9
Port Scan,6,12
Health Check,2,15
System Log,3,31
System Log,8,22
Failed Login,8,3
Health Check,4,13
System Log,9,30
Health Check,6,1
Failed Login,3,0
Port Scan,8,3
Failed Login,7,3
Failed Login,1,15
Failed Login,6,15
Port Scan,2,53
System Log,3,6
Port Scan,3,2
Health Check,2,62
System Log,9,5
System Log,4,3
System Log,1,14
Failed Login,9,137
System Log,3,6
Health Check,3,14
Port Scan,1,44
Health Check,5,7
Failed Login,6,4
Health Check,7,5
Health Check,1,7
Failed Login,9,44
System Log,5,7
Failed Login,7,5
Failed Login,3,18
System Log,2,0
Port Scan,4,5
System Log,4,35
System Log,7,9
Port Scan,7,2
Port Scan,5,45
System Log,1,1
Failed Login,3,56
Port Scan,5,1
Port Scan,1,10
System Log,5,7
Failed Login,6,9
System Log,3,7
Health Check,6,26
System Log,4,25
Health Check,2,16
Health Check,8,95
System Log,3,9
Failed Login,6,12
System Log,8,9
System Log,9,26
Port Scan,6,40
Port Scan,6,52
System Log,5,0
Port Scan,9,0
System Log,4,11
Failed Login,9,46
Failed Login,1,5
Failed Login,9,7
Health Check,1,61
System Log,4,46
Health Check,5,5
Port Scan,9,33
Port Scan,4,1
Health Check,6,7
Failed Login,4,30
Failed Login,1,0
Port Scan,6,1
Failed Login,4,4
Failed Login,2,41
Health Check,6,2
Failed Login,8,5
System Log,1,6
System Log,5,20
Health Check,2,2
Failed Login,4,23
Port Scan,1,45
System Log,1,5
Health Check,2,95
System Log,4,54
System Log,1,14
Health Check,8,26
Failed Login,1,19
Health Check,5,8
Port Scan,4,22
System Log,5,1
Port Scan,6,36
Port Scan,6,10
System Log,9,13
Port Scan,3,6
Failed Login,9,16
Port Scan,4,76
System Log,7,36
System Log,6,17
Failed Login,7,19
Failed Login,6,21
Failed Login,4,4
Health Check,2,1
Port Scan,9,9
Port Scan,8,22
Port Scan,4,34
Health Check,6,40
Port Scan,9,19
Port Scan,4,9
Health Check,7,27
Failed Login,7,59
Failed Login,4,19
Failed Login,3,44
Failed Login,2,2
Health Check,6,2
Port Scan,6,6
System Log,3,15
System Log,4,13
System Log,7,26
Health Check,5,1
Failed Login,5,29
Health Check,6,36
Health Check,4,25
Failed Login,9,15
Health Check,1,3
Health Check,9,6
Failed Login,7,9
Port Scan,7,23
System Log,4,26
System Log,1,14
Failed Login,2,20
Health Check,3,14
Failed Login,4,12
System Log,4,9
Failed Login,6,11
Failed Login,7,0
Failed Login,4,16
System Log,8,16
Health Check,7,22
System Log,8,16
Port Scan,9,8
Failed Login,6,14
Failed Login,5,37
Failed Login,4,7
System Log,8,27
Failed Login,6,14
Health Check,9,25
Port Scan,6,4
System Log,8,4
Failed Login,8,7
Port Scan,2,9
Port Scan,7,44
Port Scan,1,1
System Log,4,1
Port Scan,5,15
Failed Login,6,13
Failed Login,3,3
Failed Login,3,5
System Log,1,28
Port Scan,3,40
Port Scan,5,14
Health Check,4,14
Failed Login,1,32
Health Check,1,6
System Log,7,5
Port Scan,3,32
Port Scan,8,2
System Log,1,5
Port Scan,2,0
Port Scan,9,25
Port Scan,2,6
System Log,7,39
Failed Login,2,12
System Log,6,11
System Log,3,42
Health Check,6,1
Health Check,3,13
Failed Login,4,20
Failed Login,3,11
Health Check,5,12
System Log,1,39
System Log,2,0
Failed Login,7,24
Failed Login,2,65
Health Check,1,0
Health Check,6,5
Port Scan,1,21
Failed Login,3,91
Failed Login,9,77
Port Scan,3,1
System Log,9,9
Failed Login,5,24
Health Check,8,49
Failed Login,2,18
Health Check,5,2
System Log,8,22
System Log,7,69
System Log,9,8
Failed Login,8,4
Port Scan,3,34
Failed Login,2,40
Failed Login,1,6
System Log,2,15
System Log,5,2
Port Scan,5,0
System Log,3,70
System Log,8,30
Health Check,8,83
Port Scan,2,8
Health Check,2,2
Failed Login,9,8
Failed Login,4,1
Port Scan,5,30
Health Check,6,8
System Log,5,4
Port Scan,5,17
Health Check,6,53
Health Check,6,9
Health Check,8,7
Port Scan,8,2
Failed Login,2,6
System Log,8,27
System Log,6,9
Health Check,2,18
Failed Login,1,49
Port Scan,6,31
Failed Login,1,25
Port Scan,1,13
Failed Login,1,12
Port Scan,6,2
Failed Login,9,30
Failed Login,2,10
Failed Login,9,62
Failed Login,3,35
System Log,4,29
Port Scan,1,2
System Log,7,27
Health Check,4,94
Health Check,4,10
System Log,7,20
Port Scan,8,41
System Log,5,4
System Log,1,19
System Log,9,5
Health Check,2,11
Port Scan,3,26
Health Check,9,19
Failed Login,9,5
System Log,4,5
Health Check,7,4
System Log,3,22
Health Check,8,6
Health Check,4,24
System Log,8,35
System Log,3,8
System Log,1,17
Health Check,1,2
System Log,3,17
Failed Login,9,12
Port Scan,1,10
System Log,5,49
Failed Login,4,31
Health Check,4,6
System Log,3,27
Port Scan,6,12
Failed Login,7,21
Failed Login,6,0
Port Scan,3,10
Health Check,4,0
Health Check,7,22
Health Check,3,0
System Log,5,17
System Log,6,11
Health Check,3,4
Health Check,3,44
Failed Login,6,32
Failed Login,2,5
Health Check,2,2
System Log,5,7
Health Check,9,4
Failed Login,1,13
Health Check,6,50
Failed Login,1,3
Port Scan,2,4
Failed Login,6,31
Health Check,1,44
Health Check,3,13
Port Scan,5,16
System Log,7,20
Failed Login,5,13
Health Check,6,63
Health Check,3,2
System Log,5,22
Health Check,8,5
Health Check,7,13
Port Scan,3,94
Failed Login,7,7
Port Scan,8,23
Failed Login,1,24
Port Scan,9,2
System Log,5,0
System Log,3,17
Health Check,7,8
Health Check,6,40
Health Check,7,3
Health Check,7,73
System Log,1,12
Health Check,2,3
Health Check,1,55
Failed Login,8,89
Port Scan,4,7
Health Check,3,21
Health Check,1,21
System Log,8,9
Health Check,6,25
Failed Login,5,33
Failed Login,8,12
Failed Login,4,28
Failed Login,3,19
Failed Login,4,28
System Log,2,15
Failed Login,3,15
System Log,8,10
Failed Login,5,15
Port Scan,2,8
Failed Login,3,8
Port Scan,9,14
System Log,3,20
Health Check,2,11
Failed Login,2,10
System Log,4,75
System Log,6,2
System Log,5,28
System Log,4,49
System Log,1,4
System Log,5,1
System Log,6,18
Health Check,4,17
System Log,1,23
System Log,6,42
Failed Login,5,98
System Log,9,24
Failed Login,1,16
Health Check,4,10
Port Scan,5,17
Failed Login,2,2
Failed Login,5,4
Failed Login,2,9
Failed Login,8,13
Failed Login,3,11
System Log,8,35
Failed Login,9,50
Port Scan,2,1
Failed Login,9,24
Port Scan,9,9
Failed Login,3,14
Port Scan,9,64
System Log,3,6
Port Scan,7,24
Port Scan,9,8
System Log,7,31
System Log,2,11
Port Scan,3,14
System Log,2,5
Health Check,2,7
System Log,1,5
System Log,8,12
Failed Login,6,12
System Log,2,16
Port Scan,7,29
Failed Login,3,9
Health Check,3,12
Failed Login,1,32
Port Scan,9,42
Port Scan,7,39
System Log,1,35
Port Scan,6,35
System Log,9,27
System Log,6,10
Port Scan,3,3
Port Scan,2,102
Failed Login,4,1
Failed Login,6,6
System Log,8,24
System Log,7,2
Failed Login,7,13
Failed Login,7,6
Health Check,4,11
Port Scan,1,16
Port Scan,3,1
System Log,6,1
Port Scan,3,3
Failed Login,3,11
Health Check,4,7
System Log,3,1
System Log,2,5
Failed Login,9,25
Failed Login,1,5
System Log,4,9
Port Scan,6,9
System Log,5,26
Port Scan,3,62
Failed Login,3,26
Health Check,8,7
System Log,2,79
Port Scan,8,1
Failed Login,4,42
Port Scan,8,1
Failed Login,5,17
Health Check,9,7
Health Check,2,1
Port Scan,8,13
Port Scan,4,13
System Log,3,6
Failed Login,3,30
Port Scan,2,17
Health Check,6,10
Health Check,6,14
Health Check,9,34
Failed Login,7,11
System Log,5,38
System Log,3,29
Health Check,1,29
Port Scan,4,7
Port Scan,6,2
Health Check,9,1
Port Scan,9,7
Failed Login,7,4
System Log,1,32
Port Scan,2,85
Port Scan,2,7
Port Scan,5,0
System Log,6,3
Port Scan,3,0
System Log,2,74
Port Scan,8,39
Health Check,1,39
Health Check,3,21
Health Check,2,48
Failed Login,9,16
Health Check,1,1
Failed Login,2,27
Health Check,8,16
Port Scan,7,25
Health Check,9,32
System Log,1,28
System Log,6,6
Port Scan,8,40
Health Check,3,6
Port Scan,4,48
System Log,4,7
Health Check,1,107
Port Scan,3,3
Port Scan,9,6
Port Scan,7,39
Failed Login,3,11
System Log,4,88
Failed Login,8,2
Port Scan,2,21
Port Scan,2,12
Health Check,5,23
System Log,8,0
Failed Login,1,6
Port Scan,9,46
Failed Login,6,19
System Log,6,12
Failed Login,7,6
Health Check,8,8
Port Scan,1,19
System Log,7,4
Port Scan,1,10
Port Scan,6,10
System Log,8,6
Port Scan,4,32
Port Scan,9,25
System Log,6,10
System Log,9,25
System Log,5,16
Health Check,9,4
Health Check,2,19
System Log,5,9
Health Check,3,6
Failed Login,4,5
System Log,3,1
System Log,4,6
Health Check,4,2
Health Check,6,14
Failed Login,8,28
Failed Login,9,1
Failed Login,1,18
Port Scan,1,7
Failed Login,4,38
System Log,1,3
Failed Login,6,52
Failed Login,6,2
Failed Login,7,0
Port Scan,5,4
Port Scan,2,1
Failed Login,7,14
Port Scan,8,39
Failed Login,6,14
Port Scan,9,25
Failed Login,8,7
System Log,6,12
Port Scan,6,0
Health Check,3,5
Health Check,1,18
System Log,1,1
System Log,1,16
Health Check,1,19
Health Check,1,51
Failed Login,1,8
System Log,1,1
Port Scan,4,12
Failed Login,5,6
Failed Login,2,0
Failed Login,8,1
Failed Login,7,17
Failed Login,4,30
Health Check,8,6
Port Scan,9,14
Failed Login,3,33
Health Check,1,16
System Log,9,27
Port Scan,4,53
Port Scan,9,19
Port Scan,5,1
Failed Login,5,19
System Log,5,34
Health Check,3,26
System Log,2,64
Port Scan,8,6
Port Scan,4,9
Health Check,4,2
System Log,5,20
System Log,5,62
Health Check,7,22
Port Scan,5,2
Health Check,5,23
Failed Login,7,10
Port Scan,7,63
Failed Login,3,6
Port Scan,3,25
Failed Login,6,1
Port Scan,8,17
Health Check,4,22
Port Scan,1,9
System Log,8,2
Failed Login,3,15
Health Check,9,9
Health Check,1,10
Failed Login,4,38
System Log,9,9
Health Check,6,3
System Log,4,1
Port Scan,8,22
Port Scan,3,30
Failed Login,5,36
System Log,4,26
Failed Login,2,41
Health Check,3,5
System Log,8,3
Failed Login,1,3
System Log,9,8
Health Check,8,3
Health Check,8,0
System Log,4,123
Health Check,6,0
Health Check,7,20
Failed Login,3,0
