event_type,severity,frequency
Failed Login,9,11
Failed Login,3,32
Port Scan,1,19
Failed Login,6,78
Failed Login,1,2
Failed Login,4,0
Failed Login,9,8
Failed Login,7,15
Failed Login,4,7
Failed Login,4,1
Failed Login,9,37
Failed Login,9,42
Port Scan,9,35
Failed Login,7,2
Failed Login,7,17
Port Scan,1,22
Port Scan,4,2
Failed Login,1,19
Port Scan,2,11
Failed Login,4,53
Port Scan,6,10
Port Scan,8,26
Failed Login,9,145
Failed Login,4,7
Port Scan,1,3
Failed Login,4,60
Port Scan,3,12
Port Scan,9,12
Port Scan,9,7
Failed Login,9,19
Failed Login,3,67
Port Scan,1,5
Failed Login,8,19
Failed Login,5,9
Failed Login,3,32
Failed Login,7,20
Port Scan,3,20
Port Scan,6,15
Port Scan,9,18
Port Scan,4,66
Failed Login,8,5
Failed Login,2,8
Failed Login,7,11
Failed Login,1,24
Failed Login,7,10
Failed Login,5,11
Failed Login,3,7
Port Scan,9,34
Failed Login,7,9
Failed Login,4,49
Port Scan,6,23
Port Scan,4,1
Failed Login,6,3
Port Scan,2,20
Failed Login,2,12
Failed Login,8,5
Port Scan,6,39
Failed Login,2,3
Failed Login,1,8
Port Scan,5,64
Failed Login,5,9
Port Scan,8,14
Failed Login,8,54
Port Scan,7,14
Port Scan,4,15
Failed Login,4,27
Port Scan,7,19
Port Scan,1,44
Port Scan,5,35
Port Scan,9,16
Port Scan,4,31
Failed Login,9,1
Failed Login,2,4
Port Scan,4,19
Port Scan,6,5
Failed Login,4,6
Failed Login,3,2
Failed Login,1,12
Port Scan,5,33
Port Scan,6,4
Failed Login,9,13
Failed Login,4,5
Failed Login,8,27
Failed Login,9,18
Failed Login,9,10
Port Scan,1,12
Failed Login,9,16
Failed Login,3,0
Port Scan,1,40
Port Scan,9,8
Failed Login,6,1
Failed Login,5,18
Failed Login,3,0
Port Scan,6,16
Failed Login,5,12
Failed Login,2,19
Port Scan,8,3
Port Scan,8,12
Failed Login,1,5
Failed Login,3,2
Port Scan,2,31
Port Scan,2,31
Port Scan,2,10
Port Scan,8,21
Port Scan,4,73
Failed Login,3,12
Port Scan,9,16
Port Scan,8,36
Failed Login,4,41
Failed Login,7,14
Failed Login,5,33
Port Scan,9,7
Failed Login,5,2
Failed Login,1,10
Failed Login,7,16
Failed Login,9,35
Failed Login,2,0
Failed Login,7,4
Failed Login,6,13
Failed Login,1,4
Failed Login,3,1
Failed Login,3,68
Failed Login,9,47
Failed Login,1,9
Failed Login,4,6
Failed Login,9,23
Port Scan,3,47
Failed Login,7,29
Port Scan,8,14
Port Scan,2,12
Port Scan,5,3
Port Scan,7,47
Failed Login,1,4
Failed Login,1,21
Failed Login,5,63
Port Scan,8,11
Failed Login,2,35
Port Scan,9,18
Port Scan,3,47
Port Scan,2,24
Failed Login,9,26
Failed Login,4,87
Failed Login,4,7
Failed Login,9,8
Port Scan,9,50
Port Scan,6,23
Failed Login,8,1
Port Scan,2,2
Port Scan,6,3
Port Scan,2,8
Failed Login,1,17
Failed Login,1,6
Port Scan,4,7
Failed Login,3,6
Port Scan,2,42
Failed Login,1,9
Port Scan,8,8
Failed Login,6,9
Failed Login,5,1
Failed Login,2,1
Failed Login,7,27
Port Scan,8,3
Failed Login,8,30
Failed Login,7,7
Port Scan,8,0
Port Scan,4,11
Failed Login,7,0
Port Scan,6,40
Port Scan,6,6
Port Scan,1,12
Port Scan,3,41
Failed Login,4,17
Failed Login,5,4
Port Scan,4,13
Port Scan,1,12
Failed Login,7,15
Port Scan,8,29
Failed Login,6,14
Port Scan,4,29
Failed Login,4,35
Failed Login,1,33
Failed Login,8,1
Failed Login,3,22
Port Scan,9,52
Failed Login,5,10
Port Scan,2,16
Failed Login,7,41
Failed Login,8,24
Port Scan,2,0
Failed Login,9,7
Failed Login,9,4
Port Scan,4,0
Failed Login,1,16
Failed Login,1,1
Failed Login,7,5
Failed Login,7,19
Port Scan,7,0
Failed Login,9,4
Port Scan,7,6
Port Scan,7,12
Failed Login,3,0
Failed Login,9,83
Failed Login,7,54
Port Scan,9,13
Port Scan,8,4
Failed Login,2,17
Failed Login,3,9
Failed Login,2,2
Port Scan,9,23
Port Scan,9,22
Port Scan,5,5
Failed Login,4,0
Port Scan,5,6
Port Scan,8,14
Failed Login,8,45
Port Scan,2,4
Port Scan,1,63
Port Scan,9,0
Failed Login,3,31
Failed Login,9,6
Port Scan,7,26
Port Scan,3,32
Failed Login,8,10
Port Scan,1,59
Port Scan,5,5
Port Scan,8,11
Failed Login,9,5
Port Scan,9,1
Failed Login,1,15
Failed Login,7,8
Port Scan,3,11
Failed Login,9,29
Failed Login,9,9
Failed Login,6,18
Failed Login,9,13
Failed Login,3,3
Port Scan,2,9
Failed Login,1,23
Port Scan,8,18
Port Scan,4,4
Port Scan,3,1
Port Scan,6,0
Failed Login,2,32
Port Scan,9,20
Port Scan,6,6
Failed Login,7,1
Port Scan,3,0
Port Scan,7,1
Port Scan,2,4
Failed Login,6,39
Port Scan,3,12
Failed Login,8,22
Failed Login,3,18
Failed Login,7,26
Failed Login,3,39
Failed Login,4,1
Port Scan,8,67
Failed Login,1,10
Failed Login,7,39
Port Scan,4,26
Failed Login,6,2
Port Scan,8,3
Port Scan,9,15
Failed Login,9,12
Port Scan,3,5
Port Scan,6,8
Failed Login,3,15
Port Scan,9,11
Failed Login,2,2
Port Scan,9,1
Port Scan,3,8
Failed Login,9,50
Failed Login,8,33
Failed Login,2,11
Failed Login,1,12
Failed Login,5,11
Failed Login,1,47
Failed Login,7,0
Failed Login,5,42
Failed Login,7,6
Port Scan,9,2
Port Scan,6,12
Failed Login,4,3
Failed Login,1,22
Port Scan,2,33
Failed Login,4,5
Failed Login,6,47
Failed Login,7,10
Port Scan,3,9
Failed Login,7,8
Failed Login,1,43
Port Scan,3,49
Port Scan,1,29
Port Scan,4,16
Port Scan,2,2
Failed Login,9,15
Port Scan,7,10
Failed Login,4,9
Port Scan,2,10
Port Scan,4,5
Port Scan,3,2
Port Scan,5,16
Port Scan,9,1
Port Scan,5,6
Port Scan,4,18
Port Scan,7,15
Failed Login,5,17
Failed Login,3,14
Port Scan,5,32
Failed Login,2,21
Failed Login,5,150
Port Scan,7,48
Port Scan,2,15
Failed Login,9,3
Failed Login,7,1
Failed Login,8,17
Port Scan,9,24
Port Scan,4,30
Port Scan,4,17
Port Scan,4,12
Port Scan,5,14
Failed Login,2,20
Port Scan,4,13
Port Scan,7,13
Failed Login,4,12
Port Scan,6,28
Port Scan,7,6
Port Scan,7,0
Failed Login,7,40
Failed Login,3,12
Port Scan,2,9
Failed Login,5,10
Port Scan,3,6
Failed Login,5,7
Port Scan,9,23
Failed Login,8,31
Port Scan,1,15
Failed Login,4,33
Port Scan,2,9
Failed Login,8,38
Port Scan,4,37
Port Scan,8,44
Port Scan,9,29
Failed Login,8,14
Port Scan,8,16
Failed Login,7,1
Failed Login,1,10
Failed Login,2,7
Port Scan,9,20
Port Scan,2,8
Port Scan,7,59
Failed Login,5,11
Failed Login,4,16
Failed Login,6,6
Port Scan,3,2
Failed Login,7,42
Failed Login,1,31
Port Scan,9,7
Failed Login,9,103
Failed Login,1,33
Port Scan,9,1
Failed Login,5,6
Port Scan,3,39
Failed Login,9,23
Port Scan,6,4
Port Scan,8,29
Port Scan,5,2
Failed Login,8,2
Port Scan,7,0
Port Scan,7,35
Port Scan,9,1
Failed Login,9,2
Failed Login,9,3
Port Scan,4,2
Port Scan,5,5
Port Scan,3,1
Port Scan,9,22
Failed Login,8,20
Failed Login,8,9
Failed Login,3,57
Port Scan,9,25
Port Scan,9,25
Failed Login,6,5
Port Scan,7,2
Port Scan,2,5
Port Scan,2,29
Port Scan,8,17
Port Scan,3,29
Failed Login,6,8
Port Scan,4,46
Failed Login,5,17
Failed Login,6,29
Port Scan,8,59
Failed Login,3,30
Port Scan,1,119
Failed Login,6,16
Port Scan,3,6
Failed Login,5,3
Failed Login,5,11
Failed Login,1,21
Port Scan,1,0
Failed Login,5,69
Failed Login,7,13
Port Scan,9,64
Failed Login,8,11
Failed Login,2,20
Failed Login,7,3
Failed Login,7,1
Failed Login,6,3
Failed Login,7,12
Port Scan,6,26
Failed Login,1,6
Port Scan,1,17
Failed Login,6,32
Port Scan,4,24
Failed Login,9,7
Port Scan,3,11
Port Scan,6,14
Port Scan,9,16
Failed Login,8,10
Port Scan,5,0
Port Scan,9,1
Port Scan,3,10
Port Scan,4,13
Port Scan,9,16
Port Scan,7,12
Port Scan,7,3
Failed Login,9,8
Failed Login,9,1
Failed Login,6,44
Port Scan,9,4
Port Scan,8,1
Port Scan,8,3
Port Scan,6,37
Port Scan,1,8
Failed Login,5,7
Failed Login,5,3
Port Scan,6,37
Port Scan,6,38
Failed Login,2,6
Port Scan,4,8
Failed Login,2,10
Failed Login,9,30
Failed Login,2,6
Port Scan,7,15
Port Scan,7,2
Port Scan,5,10
Port Scan,1,1
Failed Login,4,25
Port Scan,9,8
Port Scan,2,41
Port Scan,2,9
Failed Login,4,10
Port Scan,6,27
Failed Login,3,20
Failed Login,4,0
Failed Login,3,1
Failed Login,3,14
Port Scan,8,21
Failed Login,4,6
Failed Login,3,0
Failed Login,4,4
Port Scan,4,0
Port Scan,1,11
Failed Login,5,8
Port Scan,6,5
Port Scan,5,47
Failed Login,7,44
Port Scan,1,30
Port Scan,6,36
Port Scan,3,17
Failed Login,9,7
Failed Login,1,41
Port Scan,9,43
Failed Login,1,4
Failed Login,6,8
Port Scan,7,0
Failed Login,6,13
Port Scan,7,8
Port Scan,1,7
Port Scan,7,74
Port Scan,2,46
Port Scan,8,22
Failed Login,7,15
Failed Login,5,25
Failed Login,1,7
Failed Login,4,30
Failed Login,7,1
Failed Login,9,7
Port Scan,5,10
Failed Login,3,5
Failed Login,1,18
Port Scan,5,8
Port Scan,7,0
Port Scan,4,3
Port Scan,1,8
Port Scan,8,13
Failed Login,3,4
Port Scan,6,2
Failed Login,2,10
Port Scan,3,12
Port Scan,6,1
Port Scan,1,31
Port Scan,4,12
Failed Login,2,40
Port Scan,4,130
Failed Login,1,16
Port Scan,9,72
Failed Login,9,9
Port Scan,9,27
Failed Login,1,8
Failed Login,1,10
Port Scan,8,6
Port Scan,7,2
Port Scan,6,24
Port Scan,3,11
Port Scan,2,19
Port Scan,6,6
Port Scan,2,17
Failed Login,8,9
Port Scan,3,28
Port Scan,6,1
Port Scan,7,1
Port Scan,4,0
Failed Login,4,34
Failed Login,3,34
Port Scan,1,8
Port Scan,6,37
Failed Login,5,4
Port Scan,4,6
Port Scan,5,13
Port Scan,2,0
Port Scan,9,7
Failed Login,2,10
Failed Login,9,11
Port Scan,3,24
Failed Login,9,4
Port Scan,2,2
Port Scan,3,3
Failed Login,5,15
Port Scan,9,3
Port Scan,3,44
Failed Login,1,12
Failed Login,9,23
Failed Login,9,9
Failed Login,5,11
Failed Login,3,8
Port Scan,7,0
Failed Login,3,15
Failed Login,1,106
Failed Login,7,30
Port Scan,6,7
Port Scan,5,17
Failed Login,9,11
Failed Login,8,2
Port Scan,4,0
Port Scan,1,31
Failed Login,8,2
Port Scan,6,37
Port Scan,8,7
Failed Login,1,24
Failed Login,7,21
Failed Login,3,13
Failed Login,9,17
Port Scan,3,4
Port Scan,6,49
Failed Login,9,5
Port Scan,4,4
Failed Login,5,19
Failed Login,2,14
Failed Login,2,1
Port Scan,2,16
Port Scan,5,12
Failed Login,5,5
Port Scan,5,37
Port Scan,1,24
Port Scan,1,0
Port Scan,6,14
Failed Login,6,29
Port Scan,7,7
Port Scan,6,12
Port Scan,4,49
Port Scan,1,0
Port Scan,4,13
Port Scan,3,34
Port Scan,7,0
Port Scan,6,33
Failed Login,4,0
Port Scan,4,4
Failed Login,9,15
Port Scan,1,46
Port Scan,2,6
Port Scan,9,16
Failed Login,8,22
Failed Login,4,23
Failed Login,4,3
Port Scan,8,8
Port Scan,2,5
Failed Login,5,18
Failed Login,3,1
Failed Login,1,0
Port Scan,4,33
Failed Login,7,0
Failed Login,9,9
Failed Login,3,5
Failed Login,8,12
Port Scan,4,17
Failed Login,9,16
Port Scan,7,35
Failed Login,2,10
Failed Login,6,6
Failed Login,4,3
Port Scan,6,33
Failed Login,3,59
Failed Login,8,31
Failed Login,2,6
Failed Login,1,2
Port Scan,5,4
Failed Login,1,6
Failed Login,6,25
Failed Login,8,1
Failed Login,2,1
Port Scan,5,9
Port Scan,9,17
Failed Login,2,45
Port Scan,6,23
Port Scan,7,28
Port Scan,7,4
Port Scan,8,16
Failed Login,6,6
Port Scan,4,5
Port Scan,8,25
Port Scan,4,20
Port Scan,5,8
Port Scan,6,12
Failed Login,7,7
Failed Login,8,3
Port Scan,7,24
Failed Login,7,8
Failed Login,6,14
Failed Login,1,5
Failed Login,5,4
Failed Login,2,2
Port Scan,2,10
Port Scan,8,30
Port Scan,8,37
Failed Login,3,11
Failed Login,1,40
Port Scan,3,6
Failed Login,5,0
Port Scan,3,6
Failed Login,8,6
Port Scan,2,9
Failed Login,3,3
